url,ProductName,Unit,price,unit_price,NetContents,unit_carbs,unit_energy,unit_fat,unit_protein,vegan
https://www.tesco.ie/groceries/en-IE/products/317306649,Ortiz Sardines in Olive Oil 140g,100g,€4.30,30.71,140g,,798.0,11.0,23.0,False
https://www.tesco.ie/groceries/en-IE/products/300109828,Birds Eye 22 Chicken Dippers 403G,100g,€6.40,15.88,403g ℮,1.0g,1084.0,13.0,13.0,False
https://www.tesco.ie/groceries/en-IE/products/250869551,Odlums Triumph Oat Flakes 1.5Kg,100g,€3.40,2.27,1.5kg ℮,9g,1551.0,6.3,11.0,False
https://www.tesco.ie/groceries/en-IE/products/314113513,Ben's Original Pilau Microwave Rice 220g,100g,€2.79,12.68,220g ℮,1.3g,706.0,3.1,3.4,True
https://www.tesco.ie/groceries/en-IE/products/284590136,Tesco Pasta Tomato & Herb 120G,100g,€0.85,7.08,120g e,2.0g,547.0,0.6,4.9,True
https://www.tesco.ie/groceries/en-IE/products/253167098,Tesco Penne Pasta Quills 1Kg,100g,€1.35,1.35,1kg e,2.2g,748.0,0.7,5.8,True
https://www.tesco.ie/groceries/en-IE/products/289807024,Mutti Pizza Sauce Twin Pack 2X210g,100g,€3.25,7.74,2 x 210g ℮,,169.0,0.0,1.0,False
https://www.tesco.ie/groceries/en-IE/products/283111735,Tesco Cashew Nuts Snack Pack 60G,100g,€1.00,16.67,60g e,3.2g,2492.0,46.5,19.3,True
https://www.tesco.ie/groceries/en-IE/products/294357560,Fulfil Milk Chocolate Mint Vitamin Protein Bar 55G,100g,€3.30,60.0,55g ℮,"5,8 g",1537.0,14.0,37.0,False
https://www.tesco.ie/groceries/en-IE/products/314694567,Tesco Chinese Inspired Selection 490G,100g,€6.00,12.24,490g e,1.8g,1475.0,24.1,7.8,False
https://www.tesco.ie/groceries/en-IE/products/296527189,Haribo Starmix Multi Pack 352G,100g,€4.00,11.36,352 ℮,,1.0,0.5,6.6,False
https://www.tesco.ie/groceries/en-IE/products/297385129,Tesco Coated Peanuts Pigs In Blankets 200G,100g,€2.00,10.0,200g e,6.4g,2250.0,35.9,15.4,True
https://www.tesco.ie/groceries/en-IE/products/304589310,Tesco Irish Unsmoked Ham Fillet 2Kg,100g,€12.00,6.0,2.0kg e,<0.1g,601.0,6.8,19.6,False
https://www.tesco.ie/groceries/en-IE/products/253034146,Heinz Baked Beans In Tomato Sauce 6 X 415G,100g,€6.00,2.41,6 x 415g ℮,3.9g,339.0,0.4,4.8,True
https://www.tesco.ie/groceries/en-IE/products/287851797,Tesco Garlic Granules 56G,100g,€1.00,17.86,56g e,9.0g,1464.0,0.7,16.6,True
https://www.tesco.ie/groceries/en-IE/products/292052785,Heinz Seriously Good Mayonnaise Light 815G,100g,€5.50,6.75,815g ℮,,1118.0,26.0,0.6,False
https://www.tesco.ie/groceries/en-IE/products/250412487,Tesco Vegetable Soup 400G,100g,€0.75,1.88,400g e,1.3g,210.0,1.0,1.4,False
https://www.tesco.ie/groceries/en-IE/products/258046239,Sharwoods Sweet And Sour Cooking Sauce 425G,100g,€3.90,9.18,425g ℮,<0.5g,443.0,0.5,0.5,True
https://www.tesco.ie/groceries/en-IE/products/314576080,Tesco 8 Chicken Balti Naans 128g,100g,€4.00,31.25,128g e,2.9g,896.0,5.3,11.5,False
https://www.tesco.ie/groceries/en-IE/products/316061311,Tesco Finest Fruity Flapjack Cookies 200g,100g,€2.20,11.0,200g,3.2g,1950.0,22.6,6.3,False
https://www.tesco.ie/groceries/en-IE/products/300535513,Tesco Italian Cherry Tomatoes 400G,100g,€0.95,2.38,400g e,2.6g,163.0,1.1,1.8,True
https://www.tesco.ie/groceries/en-IE/products/306799283,Biona Organic Chick Peas 400G,100g,€1.69,7.04,400g ℮,6.9g,649.0,2.1,5.5,True
https://www.tesco.ie/groceries/en-IE/products/315383916,Lyons Decaffeinated Blend Tea 40 Tea Bags 116G,100ml,€2.25,19.4,116g ℮,,17.0,0.5,0.5,False
https://www.tesco.ie/groceries/en-IE/products/283724459,Tesco Shortbread Assortment Tin 500G,100g,€7.50,15.0,500g e,2.2g,2132.0,26.1,6.0,False
https://www.tesco.ie/groceries/en-IE/products/302309577,Pom Bear Original Crisps 6 X 13G,100g,€3.00,38.46,6 x 13g ℮,5.6 g,2109.0,26.0,3.7,True
https://www.tesco.ie/groceries/en-IE/products/250535664,Tesco Ready To Roll Fondant Icing 500G,100g,€2.05,4.1,500g e,0.5g,1735.0,6.8,0.0,True
https://www.tesco.ie/groceries/en-IE/products/312085491,Fruit Factory 4 Flavour Fruit Twists 5 X 18G,100g,€3.00,33.33,5 x 18g ℮,5.2g,1553.0,0.5,0.8,False
https://www.tesco.ie/groceries/en-IE/products/317851285,Monaghan Mighty Chestnut Mushrooms 250g,100g,€1.39,5.56,250g ℮,0.7g,35.0,0.5,1.0,False
https://www.tesco.ie/groceries/en-IE/products/262743026,Fray Bentos Meatballs In Gravy 380G,100g,€2.25,5.92,380g ℮,0.6g,435.0,6.2,4.2,False
https://www.tesco.ie/groceries/en-IE/products/296128805,Tescosouthern Friedchicken Wrap 176G,100g,€3.75,21.31,176g e,1.5g,958.0,8.1,8.7,False
https://www.tesco.ie/groceries/en-IE/products/311270987,Tesco Finest Italian Antipasto Platter 188G,100g,€6.50,34.57,188g e,0g,1522.0,28.5,27.0,False
https://www.tesco.ie/groceries/en-IE/products/275458930,Gluten Free Cranberry&Nut Crackers 110G,100g,€4.70,42.73,100g ℮,1.82g,950.0,6.12,4.48,False
https://www.tesco.ie/groceries/en-IE/products/296526940,Peperami Original Salami 22.5G,100g,€1.15,51.11,22.5g ℮,,2056.0,44.0,23.0,False
https://www.tesco.ie/groceries/en-IE/products/317052810,Jacobs Mediterraneo Salted Italian Crackers 8 x 31.25g,100g,€3.70,118.4,8 x 31.25g ℮,2.8g,1820.0,11.0,9.8,False
https://www.tesco.ie/groceries/en-IE/products/285926056,Tesco Mature Sliced Irish White Cheddar 250G,100g,€2.25,9.0,250,0g,1725.0,34.9,25.4,False
https://www.tesco.ie/groceries/en-IE/products/315370056,Cadbury Dairy Milk Buttons Tube 72G,100g,€2.50,34.72,72g ℮,2.1g,2231.0,30.0,7.4,False
https://www.tesco.ie/groceries/en-IE/products/306191978,Irish Yogurts Clonakilty Mango Passion Fruit 450G,100g,€1.99,4.42,450g ℮,<0.5g,190.0,0.2,4.4,False
https://www.tesco.ie/groceries/en-IE/products/313947081,Skittles Crazy Sour Fruit Sweets 136G,100g,€3.00,22.06,136g,,1681.0,4.0,0.0,False
https://www.tesco.ie/groceries/en-IE/products/251108973,Tesco Broccoli And Stilton Soup 400G,100g,€0.75,1.88,400g e,0.5g,210.0,2.5,1.8,False
https://www.tesco.ie/groceries/en-IE/products/310169067,Donegal Catch 4 Breaded Chunky Cod 480G,100g,€8.50,17.71,480g ℮,1.8g,814.0,6.4,14.0,False
https://www.tesco.ie/groceries/en-IE/products/307144636,Trek Power Peanut Butter Crunch Bar 55G,100g,€2.30,41.82,55g ℮,12.1g,1740.0,18.9,28.3,True
https://www.tesco.ie/groceries/en-IE/products/302314259,Fox's Classic Biscuit Selection 550G,100g,€7.00,12.73,550g ℮,2.7g,2073.0,23.7,5.3,False
https://www.tesco.ie/groceries/en-IE/products/316187197,Mars 14 Funsize Milk Chocolate Bars 275g,100g,€5.50,20.0,14 x 18g ℮,,1846.0,15.0,4.2,False
https://www.tesco.ie/groceries/en-IE/products/258049461,Options Instant Belgian Chocolate Drink 220G,100g,€5.15,23.41,220g ℮,,1536.0,7.3,8.9,False
https://www.tesco.ie/groceries/en-IE/products/296457692,Tesco Stonebaked Ham & Pineapple Pizza 375G,100g,€1.70,4.53,375g e,2.1g,834.0,4.2,10.0,False
https://www.tesco.ie/groceries/en-IE/products/304383340,Tesco Broad Beans In Water 300G,100g,€1.00,5.26,300g e,5.4g,255.0,0.8,5.1,True
https://www.tesco.ie/groceries/en-IE/products/317424221,Green Isle Duck Fat Roast Potatoes 700g,100g,€4.50,6.43,700g ℮,2.3,728.0,4.9,3.0,False
https://www.tesco.ie/groceries/en-IE/products/317187117,Tesco 12 Irish Lamb Meatballs 240g,100g,€4.00,16.67,240g,0.7g,1037.0,17.3,19.3,False
https://www.tesco.ie/groceries/en-IE/products/274748122,Pataks Tikka Masala Medium Sauce 450G,100g,€3.90,8.67,450g ℮,,297.0,3.2,1.6,False
https://www.tesco.ie/groceries/en-IE/products/284210449,Barilla Tortiglioni 500G,100g,€2.75,5.5,500g ℮,"3,0",1521.0,2.0,13.0,True
https://www.tesco.ie/groceries/en-IE/products/311936206,Good4u Protein Balls Salted Caramel 40G,100g,€2.00,50.0,40g ℮,9.5g,1356.0,6.0,18.0,True
